id,name,2019,2020,2021,2022,2023,2024
8e6fd560-b45b-4671-9450-14036044949b,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku,1941,1915,1937,2113,2438,2789
5042c377-e340-4a6c-86f2-b1e177dfa9a2,Wyższa Szkoła Turystyki i Ekologii w Suchej Beskidzkiej,399,310,251,438,355,389
f7e601ae-54e7-401b-812a-2c1217720a8b,Politechnika Świętokrzyska,5379,4912,4615,4532,4465,4367
abce9126-371a-4701-a5a4-39094592e3a6,Wyższa Szkoła Humanistyczna we Wrocławiu,143,98,118,135,133,96
b9ad60af-7ec1-4d0a-88e5-3274ba889fe5,Wyższa Szkoła Ekonomiczna w Białymstoku,409,415,346,350,313,293
59994595-9abb-48be-99ed-36e7193be253,Chrześcijańska Akademia Teologiczna w Warszawie,330,370,340,311,387,385
12eccffc-5da2-476c-8e1b-08f8af877721,Krakowska Wyższa Szkoła Promocji Zdrowia w Krakowie,1484,1404,1413,1308,1168,1280
b6dd6bb3-5b91-4d31-9780-c1e9954bdaa9,Pomorska Szkoła Wyższa w Starogardzie Gdańskim,151,153,160,2183,2863,5350
6be05d88-f6aa-41a5-8a2f-a17ea14be1cc,Akademia Policji w Szczytnie,2052,1879,1917,1948,2060,2266
94e6dfa9-16c3-4447-aa48-59aa5351d12b,Akademia Nauk Stosowanych w Raciborzu,1306,1266,1225,1273,1314,1219
7f6f40cc-0eeb-44c4-b3ee-ae352b0ba631,Wyższa Szkoła Fizjoterapii we Wrocławiu,1099,1181,1096,989,853,761
da0ac62d-5d43-4dc7-9c81-91eeb926e78e,Wyższa Szkoła Technologii Informatycznych w Katowicach,1025,954,1054,982,854,777
69309128-a485-48bf-b8fb-006187190299,Akademia WSB,8150,8311,9370,10933,11430,13690
53f0942d-78f1-40da-bbd8-f751da484a83,Wyższa Szkoła Nauk Pedagogicznych,250,622,1020,1719,5314,3442
a38a9162-5445-4322-9fe7-21ec91508ec7,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,7364,7312,7261,7354,7322,7252
6092f810-f04b-4134-9ae6-6492eb6ea822,Uczelnia Społeczno-Medyczna w Warszawie,621,522,473,445,447,585
53933f08-4e1d-450c-87dd-1397e0a4edd4,Publiczna Uczelnia Zawodowa w Grudziądzu,,,,,,37
61e7484f-2f8e-40cb-9743-b8240e85fd86,Wyższa Szkoła Bezpieczeństwa i Ochrony im. Marszałka Józefa Piłsudskiego z siedzibą w Warszawie,407,384,357,309,246,278
f8282d52-9e6b-4cd9-86ef-06bd543460ce,Europejska Uczelnia w Warszawie,1859,1615,1417,1322,1051,1020
54a6fee7-6e09-4d46-9d26-d1c9c5cdd1dc,Wyższa Szkoła Humanistyczno-Przyrodnicza Studium Generale Sandomiriense w Sandomierzu,209,181,135,105,100,106
8aa07e44-7836-47a0-aa6c-eda8704bfacc,Akademia Nauk Stosowanych w Nowym Targu,2012,2030,1862,1512,1522,1536
cfa5bbee-e754-4694-9f50-3226c91dd7cb,Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy,592,619,645,620,620,582
2d882e28-cf5c-4845-bbd1-7c6c79d01063,Wyższa Szkoła Zarządzania Środowiskiem w Tucholi,456,438,408,379,336,288
7510fd24-edbd-4e46-b680-e7829cf52a80,Akademia Nauk Stosowanych w Koninie,1522,1548,1457,1577,1663,1781
1733f4af-98b7-494f-9ce2-b11165202213,Szkoła Wyższa Ekonomii i Zarządzania w Łodzi,34,35,21,13,3,3
caa1fc01-796d-4b5c-9fbd-fdbf66ca99aa,Wyższa Szkoła Humanistyczno-Ekonomiczna im. J. Zamoyskiego w Zamościu,189,178,161,185,198,194
44549988-d2a2-4e0d-83fc-755d21da549c,Wyższa Szkoła Kosmetyki i Nauk o Zdrowiu w Łodzi,365,404,444,444,425,449
6982273c-6dd5-4b22-9d18-dada4348f3f1,Warszawski Uniwersytet Medyczny,9832,10002,10055,9999,9719,10030
1853ee89-fd94-456b-bfc3-523babb86644,Uczelnia Nauk Społecznych,327,346,476,630,840,1060
f39171b5-f192-4064-bc1b-c5c84006a634,Uniwersytet Ignatianum w Krakowie,2984,2975,2936,2819,3035,3077
ef86cbff-3b7a-4ea1-8c44-e9f6564a8eda,Wyższa Szkoła Informatyki i Zarządzania „COPERNICUS” we Wrocławiu w likwidacji,697,605,491,276,,
870fc5dc-fa42-4ea3-bb3d-0bf37a5f3a5c,Wyższa Szkoła Inżynierii Gospodarki w Słupsku,80,66,77,60,46,37
8b0e6027-66e8-4ba2-8f04-552b398f1d8c,Wyższa Szkoła Informatyki i Zarządzania im. Prof. Tadeusza Kotarbińskiego z siedzibą w Olsztynie,500,493,417,,,
c8d725eb-bb10-4712-84a2-35c4785a15ae,"Powszechna Wyższa Szkoła Humanistyczna ""Pomerania"" w Chojnicach",696,804,754,619,770,880
f8ccf691-8784-48da-819a-014977855cd1,Uczelnia Łazarskiego w Warszawie,3765,3946,4069,4044,3773,3943
6932a745-602a-4c09-8f1f-758fa30e36ac,Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,1025,988,973,940,953,972
a615aecb-b546-472b-93d9-813564c4b50d,Państwowa Akademia Nauk Stosowanych w Przemyślu,910,935,893,915,937,934
e089e89f-100d-4446-96ca-e31f5d670002,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,6906,6388,5860,5708,5768,5897
8f4f45a9-5c93-4073-8e0a-fcb2b63cb997,Społeczna Akademia Nauk z siedzibą w Łodzi,15366,13213,12416,12896,11080,10196
d719ed3b-5b56-4940-9eb9-1255fc3bb940,Wyższa Szkoła Edukacji i Terapii im. prof. Kazimiery Milanowskiej z siedzibą w Poznaniu,941,1095,1278,1592,1872,2242
154a0276-f7ef-42a3-a8d6-752e46ffd139,Uniwersytet Przyrodniczy w Poznaniu,7622,7714,7624,7209,6791,6848
